DIALOG NAME,DIALOG PARENT NAME,Plant3D,PandID
ProjectsPIDDWGDLG,PROJECTMANAGERDLG,NO,NO
ProjectStatusManagerDLG,WorkHistoryDLG,NO,NO
ProjectXMLFileErrorDLG,ProjectMaintenanceUtilityDLG,NO,NO
PropertyMismatchDLG,AppWnd,NO,NO
PSWSpecifyPIDSettingsMetricDLG,PSWSpecifyPIDSettingsMetricDLG,NO,NO
PublishPandIDDLG,PublishPandIDDLG,NO,NO
PublishSaveSheetListTaskDLG,PublishSaveSheetListTaskDLG,NO,NO
QueryConfigurationDLG,ReportConfigurationDLG,NO,NO
QueryResultDLG,QueryConfigurationDLG,NO,NO
RailingSettingsDLG,RailingSettingsDLG,NO,NO
ReminderConnectionPortCountshouldbefilledwithcorrectvalueDLG,CreateNewComponentDLG1,NO,NO
ReminderLongDescriptionfilledwithcorrectvalueDLG,SpecEditorDLG,NO,NO
ReminderPleaseremembertoaddpartsizeDLG,CreateNewComponentDLG1,NO,NO
ReminderPleaseremembertoselectonegraphicDLG,CreateNewComponentDLG1,NO,NO
RemoveDrawingDLG,PROJECTMANAGERDLG,NO,NO
RemovePartFamilyDLG,AutoCADPlant3DCatalogBuilderApplicationDLG,NO,NO
RenameClassDLG,ProjectSetupDMConfigurationDLG,NO,NO
RenameCustomToolbarDLG,CustomizationDLG,NO,NO
RenameDWG2DLG,,NO,NO
RenameDWGDLG,PROJECTMANAGERDLG,NO,NO
RenameFileFormatDWG,PROJECTMANAGERDLG,NO,NO
RenameOrthoViewDLG,AppWnd,NO,NO
ReplacePandIDDLG,NewReportCopyOfControlValveListDLG,NO,NO
ReportConfigurationDLG,ReportCreatorDLG,NO,NO
ReportConfigurationModifiedSaveChangesDLG,ReportConfigurationDLG,NO,NO
ReportCreatorConfirmDeleteDLG,ReportConfigurationDLG,NO,NO
ReportCreatorDLG,ReportCreatorDLG,NO,NO
ReportCreatorFileOverwriteDLG,ProgressDLG,NO,NO
ReportCreatorFilterNotValidDLG,QueryConfigurationDLG,NO,NO
ReportCreatorSelectDrawingErrorDLG,ReportCreatorDLG,NO,NO
ReportCreatorTrialDLG,ReportCreatorTrialDLG,NO,NO
ReportDesignerApplicationDLG,ReportConfigurationDLG,NO,NO
ReportDesignerInvalidXMLDataErrorDLG,ReportDesignerApplicationDLG,NO,NO
ReportLayoutModifiedSaveChangesDLG,ReportDesignerApplicationDLG,NO,NO
ReportLayoutWizardDLG,ReportDesignerApplicationDLG,NO,NO
ReportValidationDLG,AppWnd,NO,NO
ReportWizardDLG,ReportDesignerApplicationDLG,NO,NO
ReportWizardSelectFieldsDLG,ReportWizardDLG,NO,NO
ResolveExcelImportChangesDLG,AutoCADPlantDSpecEditorxCatalogEditortabDLG,NO,NO
RTFExportOptionsDLG,ReportCreatorDLG,NO,NO
SaveAsCatalogBuilderExcelformatDLG,SpecEditorDLG,NO,NO
SaveAsCSVDocumentDLG,PreviewDLG,NO,NO
SaveAsHTMLDocumentDLG,PreviewDLG,NO,NO
SaveAsImageDLG,PreviewDLG,NO,NO
SaveAsMHTDocumentDLG,PreviewDLG,NO,NO
SaveAsNativeFormatDLG,PreviewDLG,NO,NO
SaveAsNewCatalogDLG,BuildCatalogSingleDLG,NO,NO
SaveAsPDFDocumentDLG,PreviewDLG,NO,NO
